GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,MirrorImage,3,33,0,6,1,7,1,4,1,1
JaCoCo Coverage Report,default,NegativeToZero,3,29,0,4,1,8,1,3,1,1
JaCoCo Coverage Report,default,IsPrimeTest,0,63,0,0,0,25,0,13,0,13
JaCoCo Coverage Report,default,ZeroIndexFinder,3,18,0,4,1,5,1,3,1,1
JaCoCo Coverage Report,default,Basement,3,22,0,4,1,6,1,3,1,1
JaCoCo Coverage Report,default,SyllableCounter,3,23,0,4,1,6,1,3,1,1
JaCoCo Coverage Report,default,IsLeapYearTest,0,39,0,0,0,19,0,10,0,10
JaCoCo Coverage Report,default,MirrorImageTest,5,266,0,0,2,31,0,9,0,9
JaCoCo Coverage Report,default,GCDTest,0,77,0,0,0,20,0,9,0,9
JaCoCo Coverage Report,default,SyllableCounterTest,30,18,0,0,12,7,6,4,6,4
JaCoCo Coverage Report,default,Checksum,3,33,0,2,1,8,1,2,1,1
JaCoCo Coverage Report,default,VectorAverageFloatTest,8,196,0,0,2,38,0,9,0,9
JaCoCo Coverage Report,default,IsLeapYear,3,20,0,6,1,5,1,4,1,1
JaCoCo Coverage Report,default,MultipleComparisons,3,20,0,4,1,7,1,3,1,1
JaCoCo Coverage Report,default,SortTest,0,363,0,0,0,33,0,9,0,9
JaCoCo Coverage Report,default,Sort,3,57,0,6,1,10,1,5,1,2
JaCoCo Coverage Report,default,StringLengthComparatorTest,18,70,0,0,0,23,3,11,3,11
JaCoCo Coverage Report,default,NegativeToZeroTest,0,227,0,0,0,33,0,9,0,9
JaCoCo Coverage Report,default,SquareDigits,3,23,0,2,1,8,1,2,1,1
JaCoCo Coverage Report,default,ChecksumTest,20,8,0,0,8,3,4,2,4,2
JaCoCo Coverage Report,default,GCDArrayTest,0,185,0,0,0,31,0,11,0,11
JaCoCo Coverage Report,default,MedianFinderTest,21,38,0,0,6,11,3,6,3,6
JaCoCo Coverage Report,default,SquareSummer,3,17,0,2,1,4,1,2,1,1
JaCoCo Coverage Report,default,VectorAverageIntTest,0,115,0,0,0,19,0,7,0,7
JaCoCo Coverage Report,default,ZeroIndexFinderTest,0,186,0,0,0,22,0,8,0,8
JaCoCo Coverage Report,default,ArrayCountComplex,3,53,0,10,1,11,1,6,1,1
JaCoCo Coverage Report,default,SquareDigitsTest,15,29,0,0,6,9,1,5,1,5
JaCoCo Coverage Report,default,HardFunction,3,17,0,2,1,4,1,2,1,1
JaCoCo Coverage Report,default,SizeClassifier,3,12,0,4,1,5,1,3,1,1
JaCoCo Coverage Report,default,Pow,3,40,0,10,1,12,1,6,1,1
JaCoCo Coverage Report,default,SizeClassifierTest,0,46,0,0,0,14,0,4,0,4
JaCoCo Coverage Report,default,SmallestOfFour,5,35,1,13,2,14,2,7,1,1
JaCoCo Coverage Report,default,SquareSummerTest,0,37,0,0,0,11,0,5,0,5
JaCoCo Coverage Report,default,LetterDoubler,3,47,1,13,1,14,2,7,1,1
JaCoCo Coverage Report,default,StringLengthComparator,3,16,0,4,1,5,1,3,1,1
JaCoCo Coverage Report,default,OddCounterTest,0,208,0,0,0,28,0,10,0,10
JaCoCo Coverage Report,default,VectorsSummed,3,31,0,2,1,6,1,2,1,1
JaCoCo Coverage Report,default,OddCounter,3,25,0,4,1,5,1,3,1,1
JaCoCo Coverage Report,default,ArrayCountComplexTest,0,215,0,0,0,31,0,11,0,11
JaCoCo Coverage Report,default,MiddleCharacterTest,5,38,0,0,2,15,1,8,1,8
JaCoCo Coverage Report,default,FizzBuzz,3,24,0,6,1,8,1,4,1,1
JaCoCo Coverage Report,default,CollatzTest,18,27,0,0,6,9,3,5,3,5
JaCoCo Coverage Report,default,Collatz,3,24,0,4,1,7,1,3,1,1
JaCoCo Coverage Report,default,PairedDigits,3,31,0,4,1,5,1,3,1,1
JaCoCo Coverage Report,default,IsPrime,7,54,2,14,3,17,3,7,1,1
JaCoCo Coverage Report,default,VectorAverageInt,3,32,0,4,1,6,1,3,1,1
JaCoCo Coverage Report,default,MiddleCharacter,3,33,0,4,1,5,1,3,1,1
JaCoCo Coverage Report,default,GCDArray,6,48,1,9,2,15,2,6,1,2
JaCoCo Coverage Report,default,FizzBuzzTest,0,77,0,0,0,24,0,7,0,7
JaCoCo Coverage Report,default,VectorAverageDoubleTest,0,157,0,0,0,29,0,8,0,8
JaCoCo Coverage Report,default,LetterDoublerTest,15,33,0,0,6,13,3,7,3,7
JaCoCo Coverage Report,default,SmallestOfFourTest,0,83,0,0,0,21,0,11,0,11
JaCoCo Coverage Report,default,VectorAverageDouble,3,35,0,4,1,7,1,3,1,1
JaCoCo Coverage Report,default,BasementTest,0,171,0,0,0,33,0,9,0,9
JaCoCo Coverage Report,default,MedianFinder,5,15,1,5,2,6,2,3,1,1
JaCoCo Coverage Report,default,MultipleComparisonsTest,32,43,0,0,8,11,4,6,4,6
JaCoCo Coverage Report,default,GCD,3,27,0,8,1,12,1,5,1,1
JaCoCo Coverage Report,default,PairedDigitsTest,20,28,0,0,8,11,4,6,4,6
JaCoCo Coverage Report,default,VectorAverageFloat,3,35,0,4,1,7,1,3,1,1
JaCoCo Coverage Report,default,PowTest,13,74,0,0,3,17,1,6,1,6
JaCoCo Coverage Report,default,VectorsSummedTest,0,335,0,0,0,41,0,9,0,9
